"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zamboni N.S.; Prudêncio M.D.C.; Amaro V.E.; Matos M.D.F.A.D.; Verutes G.M.; Carvalho A.R.","Zamboni, Nadia Selene (57200637792); Prudêncio, Mattheus da Cunha (57198776651); Amaro, Venerando Eustáquio (6506521492); Matos, Maria de Fátima Alves de (57209829532); Verutes, Gregory M. (51462368600); Carvalho, Adriana Rosa (7201882441)","57200637792; 57198776651; 6506521492; 57209829532; 51462368600; 7201882441","The protective role of mangroves in safeguarding coastal populations through hazard risk reduction: A case study in northeast Brazil","2022","Ocean and Coastal Management","229","","106353","","","","6","10.1016/j.ocecoaman.2022.106353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138091375&doi=10.1016%2fj.ocecoaman.2022.106353&partnerID=40&md5=e634d161e65faddb86f96771964dd65b","Article","Final","","Scopus","2-s2.0-85138091375"
"Moises Marques e Silva G.; Lins Oliveira J.E.; B. Silva Farias N.; Júnior R.F.A.; Nascimento W.S.","Moises Marques e Silva, Glaucia (58838170300); Lins Oliveira, Jorge Eduardo (25928564600); B. Silva Farias, Naisandra (58837667000); Júnior, Raimundo F. A. (55612717800); Nascimento, Wallace S. (54405854700)","58838170300; 25928564600; 58837667000; 55612717800; 54405854700","Effects of the pyriproxyfen and fenthion on the gonadal morphology of Nile tilapia (Oreochromis niloticus: Perciformes, Cichlidae)","2024","Journal of Fish Biology","104","4","","1193","1201","8","0","10.1111/jfb.15656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182990719&doi=10.1111%2fjfb.15656&partnerID=40&md5=1e3e4490c3d6138e0aa0e9a479aaed9d","Article","Final","","Scopus","2-s2.0-85182990719"
"Rupil G.M.; Daura-Jorge F.G.; Pagliosa P.R.; Wedekin L.L.; Freire A.S.; Angelini R.","Rupil, Gabriel M. (57191473991); Daura-Jorge, Fábio G. (16308928700); Pagliosa, Paulo R. (8726319000); Wedekin, Leonardo L. (16311108000); Freire, Andrea S. (56243792600); Angelini, Ronaldo (56249804800)","57191473991; 16308928700; 8726319000; 16311108000; 56243792600; 56249804800","To be or not to be controlled? The ecological role of the Guiana dolphin in its southernmost range","2023","Estuarine, Coastal and Shelf Science","288","","108360","","","","0","10.1016/j.ecss.2023.108360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159226021&doi=10.1016%2fj.ecss.2023.108360&partnerID=40&md5=d0c40d54382b450f251b93cb7d4b281d","Article","Final","","Scopus","2-s2.0-85159226021"
"Tavares-Damasceno J.P.; Dantas J.L.S.; Mobley J.A.; Araujo R.D.; Rodrigues M.C.; Almeida J.B.; Pichorim M.","Tavares-Damasceno, J.P. (57195670764); Dantas, J.L.S. (57781044400); Mobley, J.A. (57207848764); Araujo, R.D. (55064936500); Rodrigues, M.C. (55485977200); Almeida, J.B. (58449684800); Pichorim, M. (14519718000)","57195670764; 57781044400; 57207848764; 55064936500; 55485977200; 58449684800; 14519718000","Abundance and evidence of reproduction of Wilson's Plover (Charadrius wilsonia) in northeastern Brazil","2022","Wilson Journal of Ornithology","134","2","","291","295","4","0","10.1676/19-00055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133471137&doi=10.1676%2f19-00055&partnerID=40&md5=31ed07a02b76eb0373215e612402181a","Article","Final","","Scopus","2-s2.0-85133471137"
"Bezerra A.V.S.; de Castro V.L.L.; Di Lollo J.A.; Lorandi R.; Costa C.W.","Bezerra, Allison Vicente Silva (58515498300); de Castro, Vera Lúcia Lopes (57224176483); Di Lollo, José Augusto (57408856500); Lorandi, Reinaldo (6507766306); Costa, Carlos Wilmer (57200572275)","58515498300; 57224176483; 57408856500; 6507766306; 57200572275","Potential Risk of Contamination of the Dunas-Barreiras Aquifer System by Anthropic Activities in a Source Area in Northeastern Brazil; [Potencial Risco de Contaminação do Sistema Aquífero Dunas-Barreiras por Atividades Antrópicas em Área de Manancial no Nordeste brasileiro]","2023","Revista de Geociencias do Nordeste","9","2","","1","20","19","0","10.21680/2447-3359.2023v9n2ID31625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166342401&doi=10.21680%2f2447-3359.2023v9n2ID31625&partnerID=40&md5=b592a868e6c97d290278a3e9191e8c40","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85166342401"
"Coelho J.F.R.; Angeles-Gonzalez L.E.; Cahuich-López M.; Mariño-Tapia I.; Queiroz Lima S.M.","Coelho, Jéssica Fernanda Ramos (57220022177); Angeles-Gonzalez, Luis Enrique (57195073095); Cahuich-López, Miguel (57216874975); Mariño-Tapia, Ismael (56000865600); Queiroz Lima, Sergio Maia (57191822053)","57220022177; 57195073095; 57216874975; 56000865600; 57191822053","Larval dispersal and climate models provide insights into present and future distribution of a tropical sardine","2024","Marine Biology Research","20","1-2","","1","14","13","0","10.1080/17451000.2024.2309562","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189639405&doi=10.1080%2f17451000.2024.2309562&partnerID=40&md5=aba4fe263f49bdc501c370010e11e573","Article","Final","","Scopus","2-s2.0-85189639405"
"Flores M.G.; Medeiros A.C.L.V.; Peixinho B.C.; Nepomuceno M.M.; Nascimento E.F.D.; Gurgel A.D.M.; Santos M.O.S.D.; Gurgel I.G.D.","Flores, Mariana Gurbindo (59207386800); Medeiros, Ana Catarina Leite Véras (35724006200); Peixinho, Bianca Cardoso (57373132600); Nepomuceno, Mariana Maciel (59207748000); Nascimento, Elaine Ferreira do (57203361317); Gurgel, Aline do Monte (57147457000); Santos, Mariana Olívia Santana Dos (57345323000); Gurgel, Idê Gomes Dantas (6505721592)","59207386800; 35724006200; 57373132600; 59207748000; 57203361317; 57147457000; 57345323000; 6505721592","The protective and destructive critical processes of female labor in small-scale fishing in coast Pernambuco, Brazil; [Processos críticos protetores e destrutivos no trabalho das pescadoras artesanais do litoral Pernambucano, Brasil]","2024","Ciencia & saude coletiva","29","7","","e03612024","","","0","10.1590/1413-81232024297.03612024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197680115&doi=10.1590%2f1413-81232024297.03612024&partnerID=40&md5=9846e35303a772f3df4ef1cd2c6674f3","Article","Final","","Scopus","2-s2.0-85197680115"
"De Souza Z.S.; Vilalva F.C.J.; Dantas E.L.; Lafon J.-M.; Silveira F.V.; Oliveira J.L.","De Souza, Zorano Sérgio (6603234995); Vilalva, Frederico Castro Jobim (36603775100); Dantas, Elton Luiz (6602184864); Lafon, Jean-Michel (7005868954); Silveira, Francisco Valdir (57168721900); Oliveira, Joyce Lorena (57851044900)","6603234995; 36603775100; 6602184864; 7005868954; 57168721900; 57851044900","Petrogenesis and Tectonics of Eocene-Oligocene Phonolites of Mecejana, Ceará, NE Brazil: the Role of the Fernando de Noronha Fracture Zone, Equatorial Atlantic","2022","Journal of Petrology","63","7","egac051","","","","3","10.1093/petrology/egac051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136288516&doi=10.1093%2fpetrology%2fegac051&partnerID=40&md5=b3848b5a95d692da71ff9e869f4a4271","Article","Final","","Scopus","2-s2.0-85136288516"
"Ferreira-Araújo T.; Hollanda-Carvalho P.; Di Dario F.; Mendes L.D.F.; Oliveira C.; Gasparini J.L.; Rotundo M.M.; Macieira R.M.; Lima S.M.Q.","Ferreira-Araújo, Thais (57219550252); Hollanda-Carvalho, Pedro (59158412700); Di Dario, Fabio (6506622744); Mendes, Liana de Figueiredo (26432246400); Oliveira, Claudio (7202422635); Gasparini, João Luiz (6603361579); Rotundo, Matheus Marcos (26642780500); Macieira, Raphael M. (16022364500); Lima, Sergio Maia Queiroz (57191822053)","57219550252; 59158412700; 6506622744; 26432246400; 7202422635; 6603361579; 26642780500; 16022364500; 57191822053","Different roles of the Amazon-Orinoco barrier on the genetic structure of two sardine genera from the Western Atlantic Ocean","2024","Hydrobiologia","851","10","","2429","2445","16","0","10.1007/s10750-023-05468-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189291365&doi=10.1007%2fs10750-023-05468-0&partnerID=40&md5=223a4c98eb479f7682ae8c467fa0287a","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85189291365"
"Rossi S.; de Farias D.S.D.; da Costa Bomfim A.; Carreira R.S.; Grisi-Filho J.H.H.; Massone C.G.; de Lima Silva F.J.; Gavilan S.A.","Rossi, Silmara (26641463100); de Farias, Daniel Solon Dias (57209510003); da Costa Bomfim, Aline (57209500689); Carreira, Renato S. (55395574900); Grisi-Filho, José Henrique Hildebrand (57192010782); Massone, Carlos G. (7004567719); de Lima Silva, Flávio José (37025792300); Gavilan, Simone Almeida (57193931641)","26641463100; 57209510003; 57209500689; 55395574900; 57192010782; 7004567719; 37025792300; 57193931641","Concentrations of polycyclic aromatic hydrocarbons (PAHs) in liver samples of green turtles Chelonia mydas stranded in the Potiguar Basin, northeastern Brazil","2023","Marine Pollution Bulletin","193","","115264","","","","2","10.1016/j.marpolbul.2023.115264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164317544&doi=10.1016%2fj.marpolbul.2023.115264&partnerID=40&md5=ceeeae1273f762f763d3976c430b1cc6","Article","Final","","Scopus","2-s2.0-85164317544"
